City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
365,Touros,BR,77.9,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
366,Daniel Flores,CR,76.96,broken clouds,9.3355,-83.6694,Hotel San Isidro
368,Tecoanapa,MX,85.75,clear sky,16.5167,-98.75,Hotel Manglares
369,Mampong,GH,77.67,scattered clouds,7.0627,-1.4001,Adom Upscale Hotel
371,Dingle,PH,73.42,moderate rain,10.9995,122.6711,SEGAYA PROPERTY
372,Salinas,US,66.99,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
373,Laguna,US,66.29,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
374,Mubi,NG,85.32,broken clouds,10.2676,13.2644,Hotel
375,Itarema,BR,77.86,moderate rain,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
377,Paita,PE,81.16,overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
378,Vinh,VN,72.1,overcast clouds,18.6667,105.6667,Vuong Hoan 2
381,Port Macquarie,AU,71.56,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
383,Moerai,PF,80.65,light rain,-22.4333,-151.3333,Le Manotel
384,Ghanzi,BW,67.62,light rain,-21.5667,21.7833,Ghanzi Farmhouse
388,Cidreira,BR,75.18,heavy intensity rain,-30.1811,-50.2056,Hotel Castelo
389,Tezu,IN,63.97,clear sky,27.9167,96.1667,Circuit House
390,Salinopolis,BR,76.42,light rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
392,Oriximina,BR,77.7,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
393,Lamar,US,78.71,overcast clouds,33.6668,-95.5836,Kings Inn Paris TX
396,Kuala Terengganu,MY,76.95,scattered clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
397,La Asuncion,VE,77.94,clear sky,11.0333,-63.8628,Colinas de Matasiete
398,Bluefields,NI,82.47,scattered clouds,12.0137,-83.7635,Nicaraguan Typical House Downtown
401,East London,ZA,75.52,overcast clouds,-33.0153,27.9116,Tu Casa
404,Pakaur,IN,69.31,clear sky,24.6333,87.85,Jannisar Ansari
405,Batemans Bay,AU,69.98,overcast clouds,-35.7167,150.1833,Batemans Bay Marina Resort
406,Noumea,NC,84.18,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
408,Rosario Do Sul,BR,74.05,moderate rain,-30.2583,-54.9142,Hotel Areias Brancas
410,Atar,MR,67.96,clear sky,20.5169,-13.0499,Oumou Elghoura
411,Rajmahal,IN,68.41,clear sky,25.05,87.8333,Manorama banquet hall
412,Saurimo,AO,65.91,overcast clouds,-9.6608,20.3916,Hotel Kawissa Saurimo
414,Yala,TH,78.6,overcast clouds,6.3333,101.25,งานแต่ง Murnee - Wahid
415,Mana,GF,75.6,overcast clouds,5.6592,-53.7767,LE SAMANA
417,Chabahar,IR,73.36,broken clouds,25.2919,60.643,هتل گدروشیا
418,Arroyos Y Esteros,PY,87.55,broken clouds,-25.0667,-57.1,GPM
420,Gold Coast,AU,75.99,scattered clouds,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
423,Baraut,IN,66.15,overcast clouds,29.1,77.2667,Videocon D2h Office
426,Galle,LK,76.6,overcast clouds,6.0367,80.217,Amangalla
427,Trinidad,BO,80.58,moderate rain,-14.8333,-64.9,Hotel Piesta
429,Nago,JP,62.67,overcast clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
430,Villa Rica,US,79.05,overcast clouds,33.7321,-84.9191,Days Inn by Wyndham Villa Rica
